Songs & Artist,Streams,Daily,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,trend_alignment
Imagine Dragons - Believer,"3,79,01,56,558 ","10,57,361 ",0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Evolve,Believer,88.0,204346.0,False,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,4.0,rock,0.902230744707006
Glass Animals - Heat Waves,"3,70,39,93,218 ","10,92,122 ",02MWAaffLxlfxAUY7c5dvx,Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,88.0,238805.0,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,pop,0.4537301578802489
Billie Eilish - lovely,"3,69,91,58,193 ","11,65,762 ",0AFDe9XA8JjerFSsnsP1K8,Lauren Babic;Seraphim,"Covers, Vol. 2",Lovely,55.0,181043.0,False,0.523,0.563,4.0,-8.398,0.0,0.0439,0.235,4.01e-06,0.0876,0.323,115.1,4.0,hardcore,0.8949836637943733
Arctic Monkeys - I Wanna Be Yours,"3,68,72,96,340 ","19,74,358 ",5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,92.0,183956.0,False,0.464,0.417,0.0,-9.345,0.0,0.0256,0.136,0.022,0.0974,0.479,67.528,4.0,garage,0.3470160976691425
Lord Huron - The Night We Met,"3,66,48,82,168 ","15,54,919 ",3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,The Night We Met,83.0,208211.0,False,0.544,0.369,2.0,-9.514,1.0,0.038,0.969,0.279,0.639,0.102,87.01,3.0,indie,0.5116659646015624
Coldplay - Yellow,"3,66,41,68,844 ","18,85,889 ",6oLejuhWNQf76ydBbtLrT9,Yoh kamiyama,SHIAWASE NA OTONA,YELLOW,62.0,178712.0,False,0.786,0.719,7.0,-4.77,0.0,0.0353,0.0144,0.000638,0.0887,0.686,117.981,4.0,j-pop,0.9396930639718184
The Chainsmokers - Closer,"3,65,48,60,392 ","12,50,456 ",7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers;Halsey,Closer,Closer,84.0,244960.0,False,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,4.0,edm,0.601725163542553
Billie Eilish - BIRDS OF A FEATHER,"3,58,94,86,916 ","24,88,757 ",20iJoABZXF3Ow0YeYVFcs9,Watchhouse,Haste Make / Hard Hearted Stranger,Birds of a Feather,24.0,193386.0,False,0.438,0.255,4.0,-12.576,1.0,0.028,0.893,0.00973,0.102,0.257,156.156,4.0,bluegrass,0.4842136246113771
Vance Joy - Riptide,"3,57,24,84,638 ","17,15,295 ",7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Dream Your Life Away,Riptide,82.0,204280.0,False,0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654,4.0,rock,0.6875814222790854
The Chainsmokers - Something Just Like This,"3,56,73,47,531 ","12,98,758 ",6RUKPb4LETWmmr3iAEQktW,The Chainsmokers;Coldplay,Memories...Do Not Open,Something Just Like This,85.0,247160.0,False,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4.0,electro,0.7066194113273877
James Arthur - Say You Won't Let Go,"3,55,89,41,254 ","8,25,028 ",5uCax9HTNlzGybIStD3vDh,James Arthur,Back from the Edge,Say You Won't Let Go,85.0,211466.0,False,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,4.0,pop,0.4931324770151903
Lady Gaga - Die With A Smile,"3,54,67,97,189 ","27,85,504 ",,,,,,,,,,,,,,,,,,,,,
Tom Odell - Another Love,"3,48,96,05,769 ","13,09,507 ",3JvKfv6T31zO0ini8iNItO,Tom Odell,Long Way Down (Deluxe),Another Love,93.0,244360.0,True,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4.0,pop,0.9404914404416124
Tones And I - Dance Monkey,"3,41,38,64,602 ","4,93,607 ",29Wcsq14RbRqItlK0fmEDb,Refeci;Michel Fannoun,Dance Monkey,Dance Monkey,53.0,170587.0,False,0.653,0.647,6.0,-8.149,1.0,0.0803,0.0244,0.000918,0.105,0.418,102.062,4.0,deep-house,0.692445154818193
Hozier - Take Me to Church,"3,40,43,94,300 ","12,42,497 ",3dYD57lRAUcMHufyqn9GcI,Hozier,Hozier,Take Me To Church,83.0,241688.0,False,0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945,4.0,singer-songwriter,0.840457279297797
OneRepublic - Counting Stars,"3,39,61,18,313 ","14,41,954 ",2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Native,Counting Stars,83.0,257266.0,False,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.118,0.477,122.016,4.0,pop,0.9531480709462502
The Police - Every Breath You Take,"3,38,54,19,357 ","23,04,461 ",1JSTJqkT5qHq8MDJnJbRE1,The Police,Synchronicity (Remastered 2003),Every Breath You Take,86.0,253920.0,False,0.82,0.452,1.0,-9.796,1.0,0.0348,0.543,0.00294,0.0714,0.74,117.401,4.0,rock,0.9173233623263196
Ed Sheeran - Photograph,"3,35,65,42,926 ","13,15,046 ",1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,x (Deluxe Edition),Photograph,85.0,258986.0,False,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,4.0,pop,0.7716177750351934
Post Malone - rockstar,"3,35,24,08,527 ","5,94,812 ",3RlsVPIIs5KFhLFhxZ4iDF,Nickelback,All the Right Reasons (Walmart Exclusive Edition),Rockstar,70.0,252040.0,False,0.616,0.91,0.0,-3.004,1.0,0.0386,0.0459,0.0,0.343,0.693,144.072,4.0,alt-rock,0.6189864189872943
Taylor Swift - Cruel Summer,"3,29,29,35,883 ","11,82,115 ",2EGaDf0cPX789H3LNeB03D,Bananarama,Bananarama (Collector's Edition),Cruel Summer,66.0,215326.0,False,0.666,0.871,1.0,-6.017,0.0,0.0272,0.27,0.0208,0.263,0.936,108.501,4.0,disco,0.7880328851971401
Shawn Mendes - SeÃ±orita,"3,27,81,85,964 ","7,98,373 ",0TK2YIli7K1leLovkQiNik,Shawn Mendes;Camila Cabello,Señorita,Señorita,81.0,190960.0,False,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037,0.0,0.0945,0.75,116.947,4.0,pop,0.9320050760335312
Macklemore - Can't Hold Us,"3,25,89,83,078 ","13,19,498 ",0Ln01UTzzN4fokBWUOy7zF,Mini Pop Kids,Mini Pop Kids 18,Can't Hold Us,13.0,257972.0,False,0.651,0.901,11.0,-5.546,0.0,0.0615,0.274,0.0,0.257,0.673,146.036,4.0,kids,0.5982945013218073
Coldplay - Viva La Vida,"3,24,85,22,509 ","14,79,113 ",,,,,,,,,,,,,,,,,,,,,
Harry Styles - Watermelon Sugar,"3,24,16,17,447 ","8,59,880 ",6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Fine Line,Watermelon Sugar,89.0,174000.0,False,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,4.0,pop,0.6051021762149609
The Goo Goo Dolls - Iris,"3,22,81,62,295 ","28,24,533 ",6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Dizzy up the Girl,Iris,83.0,289533.0,False,0.315,0.715,11.0,-8.072,0.0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3.0,rock,0.4909373286288864
The Weeknd - Die For You,"3,20,25,91,534 ","12,34,300 ",2Ch7LmS7r2Gy2kc64wv3Bz,The Weeknd,Starboy,Die For You,88.0,260253.0,False,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,4.0,pop,0.7729471928234567
Bruno Mars - Just the Way You Are,"3,18,98,60,560 ","14,84,724 ",7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,82.0,220734.0,False,0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021,4.0,dance,0.7954440994066035
Dua Lipa - Don't Start Now,"3,18,82,52,634 ","7,74,861 ",3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Future Nostalgia,Don't Start Now,81.0,183290.0,False,0.793,0.793,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,4.0,dance,0.9193136764208232
Bruno Mars - Locked out of Heaven,"3,13,38,98,679 ","18,95,772 ",3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,87.0,233478.0,False,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994,4.0,dance,0.621825931546052
Bruno Mars - That's What I Like,"3,11,46,79,398 ","17,82,376 ",0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,24K Magic,That's What I Like,83.0,206693.0,False,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,4.0,dance,0.7587162078327946
Post Malone - Circles,"3,11,30,75,815 ","8,83,251 ",6rurduYegrf5XSZrphuyF2,SEVENTEEN,SEVENTEEN 4th Album Repackage 'SECTOR 17',Circles,67.0,239613.0,False,0.65,0.456,1.0,-5.742,1.0,0.0299,0.659,0.0,0.122,0.475,82.063,4.0,k-pop,0.4645569579576435
Justin Bieber - Love Yourself,"3,11,16,80,994 ","10,46,721 ",50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Purpose (Deluxe),Love Yourself,84.0,233720.0,False,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,4.0,pop,0.667394208781902
Queen - Bohemian Rhapsody,"3,10,13,29,954 ","9,80,366 ",3z8h0TU7ReDPLIbEnYhWZb,Queen,Bohemian Rhapsody (The Original Soundtrack),Bohemian Rhapsody,75.0,354947.0,False,0.39,0.397,0.0,-9.963,0.0,0.0513,0.287,0.0,0.207,0.246,144.031,4.0,rock,0.6203220406544623
Juice WRLD - Lucid Dreams,"3,09,75,79,328 ","6,47,812 ",1tHdvpQg75tLAuCK89TTVD,Zaini;vict molina,Lucid Dreams,Lucid Dreams,32.0,216960.0,False,0.748,0.408,10.0,-10.864,1.0,0.278,0.355,0.000501,0.643,0.336,125.015,4.0,sad,0.8824977502152545
The Killers - Mr. Brightside,"3,09,48,14,641 ","20,77,053 ",003vvx7Niy0yvhvHt4a68B,The Killers,Hot Fuss,Mr. Brightside,86.0,222973.0,False,0.352,0.911,1.0,-5.23,1.0,0.0747,0.00121,0.0,0.0995,0.236,148.033,4.0,alt-rock,0.5746854078386329
Travis Scott - goosebumps,"3,09,21,72,122 ","6,65,327 ",6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,84.0,243836.0,True,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0,house,0.814887350938373
Linkin Park - In the End,"3,07,93,22,544 ","16,31,665 ",60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,Hybrid Theory (Bonus Edition),In the End,85.0,216880.0,False,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,4.0,metal,0.7369048762508
Bruno Mars - When I Was Your Man,"3,07,28,36,187 ","15,10,653 ",7zCuUs0JXXPIH7GA8tWwii,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",When I Was Your Man,52.0,218472.0,False,0.403,0.237,7.0,-10.001,1.0,0.0391,0.906,0.0,0.111,0.163,144.174,4.0,acoustic,0.6183433034418692
Ed Sheeran - Thinking out Loud,"3,07,12,08,298 ","9,70,372 ",4cR4nao0hqqBtklQmGVqbe,Boyce Avenue,"Cover Sessions, Vol. 3",Thinking out Loud,56.0,278640.0,False,0.702,0.326,1.0,-6.638,1.0,0.0272,0.705,0.0,0.168,0.628,79.904,4.0,acoustic,0.4450209654188875
Avicii - Wake Me Up,"3,04,77,68,285 ","11,34,719 ",0nrRP2bk19rLc0orkWPQk2,Avicii,True,Wake Me Up,85.0,247426.0,False,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,4.0,dance,0.9259106102814068
Lady Gaga - Shallow,"3,04,45,58,041 ","8,21,289 ",2VxeLyX666F8uXCJ0dZF8B,Lady Gaga;Bradley Cooper,A Star Is Born Soundtrack,Shallow,84.0,215733.0,False,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,4.0,dance,0.6115555553552656
John Legend - All Of Me,"3,02,85,77,789 ","9,29,389 ",3U4isOIWM3VvDubwSI3y7a,John Legend,Love In The Future (Expanded Edition),All of Me,85.0,269560.0,False,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,4.0,soul,0.979744730622071
Drake - God's Plan,"3,02,56,54,732 ","8,74,918 ",6DCZcSspjsKoFjzjrWoCdn,Drake,Scorpion,God's Plan,84.0,198973.0,True,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,4.0,hip-hop,0.4207401478076897
Eminem - Without Me,"3,01,73,74,689 ","12,79,426 ",7lQ8MOhq6IN2w8EYcFNSUk,Eminem,The Eminem Show,Without Me,88.0,290320.0,True,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,4.0,hip-hop,0.8347039944015203
The Weeknd - The Hills,"2,98,96,84,562 ","9,91,818 ",7fBv7CLKzipRk6EC6TWHOB,The Weeknd,Beauty Behind The Madness,The Hills,88.0,242253.0,True,0.585,0.564,0.0,-7.063,0.0,0.0515,0.0671,0.0,0.135,0.137,113.003,4.0,pop,0.8624672688753641
Imagine Dragons - Demons,"2,97,81,61,618 ","9,86,749 ",5qaEfEh1AtSdrdrByCP7qR,Imagine Dragons,Night Visions,Demons,84.0,177506.0,False,0.505,0.71,3.0,-3.015,1.0,0.0321,0.19,0.00025,0.269,0.428,89.938,4.0,rock,0.5415299896614594
Imagine Dragons - Thunder,"2,97,68,46,830 ","8,06,756 ",1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Evolve,Thunder,85.0,187146.0,False,0.605,0.822,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.288,167.997,4.0,rock,0.3855465737858686
Twenty One Pilots - Stressed Out,"2,97,51,09,943 ","11,72,561 ",3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Blurryface,Stressed Out,85.0,202333.0,False,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4.0,rock,0.3707762378345925
DJ Snake - Let Me Love You,"2,94,80,15,050 ","13,64,751 ",0lYBSQXN6rCTvUZvg9S0lU,DJ Snake;Justin Bieber,Encore,Let Me Love You,84.0,205946.0,False,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4.0,edm,0.6644352923056407
Arctic Monkeys - Do I Wanna Know?,"2,92,60,36,656 ","12,00,530 ",5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,AM,Do I Wanna Know?,88.0,272394.0,False,0.548,0.532,5.0,-7.596,1.0,0.0323,0.186,0.000263,0.217,0.405,85.03,4.0,rock,0.4929986698853052
Kendrick Lamar - All The Stars,"2,91,69,56,320 ","17,06,488 ",,,,,,,,,,,,,,,,,,,,,
Billie Eilish - bad guy,"2,89,37,08,271 ","4,82,789 ",2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,84.0,194087.0,False,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,4.0,electro,0.735613273975118
Sabrina Carpenter - Espresso,"2,88,86,55,591 ","20,16,128 ",4HbqSjIYdhfqQAym41IsBI,sonolon,my sound,espresso,28.0,93176.0,False,0.739,0.288,9.0,-15.483,0.0,0.0683,0.442,0.892,0.145,0.101,85.012,4.0,study,0.482352178146289
Kendrick Lamar - HUMBLE.,"2,88,15,84,662 ","7,26,793 ",7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,DAMN.,HUMBLE.,84.0,177000.0,True,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4.0,hip-hop,0.5528574582191554
J. Cole - No Role Modelz,"2,86,85,15,595 ","10,52,822 ",68Dni7IE4VyPkTOH9mRWHr,J. Cole,2014 Forest Hills Drive,No Role Modelz,88.0,292799.0,True,0.69,0.521,10.0,-8.492,0.0,0.339,0.324,0.0,0.0534,0.494,100.028,4.0,hip-hop,0.6645377719953655
Benson Boone - Beautiful Things,"2,85,36,01,320 ","18,58,578 ",3SbCWIF7UaSewGfGHkFEI2,Andain,"Mixed For Feet, Vol. 1",Beautiful Things,52.0,199320.0,False,0.693,0.665,4.0,-8.111,0.0,0.0255,0.00299,0.118,0.347,0.616,130.998,4.0,trance,0.8071373364290367
Jung Kook - Seven,"2,85,26,48,515 ","21,38,424 ",3UdSY1SgSF60lpYdMbmeXm,Von Von Bon,Seven,Seven,49.0,149333.0,False,0.691,0.32,1.0,-7.301,1.0,0.0713,0.829,0.687,0.11,0.407,89.973,4.0,study,0.5441248683875549
Eminem - Lose Yourself,"2,85,16,13,025 ","10,17,995 ",04Q5xTS6JKv4zqTbTq92Fa,Onur Ormen;Nieko,Lose Yourself,Lose Yourself,41.0,142588.0,False,0.554,0.872,2.0,-5.657,1.0,0.12,0.00836,0.542,0.243,0.429,170.007,4.0,turkish,0.3705305591652827
"Tyler, The Creator - See You Again","2,85,05,96,716 ","16,96,205 ",3XfMyT4Xf5LegDhvbrFEjp,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",See You Again,50.0,239802.0,False,0.57,0.413,9.0,-7.034,1.0,0.0345,0.535,0.0,0.076,0.278,152.032,4.0,acoustic,0.5309302973840594
French Montana - Unforgettable,"2,84,59,82,223 ","12,13,626 ",3B54sVLJ402zGa6Xm4YGNe,French Montana;Swae Lee,Jungle Rules,Unforgettable,82.0,233901.0,True,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,4.0,hip-hop,0.6381235015418298
Nirvana - Smells Like Teen Spirit,"2,82,36,85,046 ","14,64,679 ",4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,83.0,301920.0,False,0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4.0,alternative,0.918754103527148
Miley Cyrus - Flowers,"2,81,98,82,600 ","9,77,095 ",6Z165JvPnS8PYvGW8oLGLc,Lauren Spencer Smith,Flowers,Flowers,80.0,157373.0,True,0.684,0.449,3.0,-9.738,1.0,0.611,0.869,0.0,0.0881,0.341,66.165,4.0,singer-songwriter,0.3375146747863887
Justin Bieber - Sorry,"2,80,71,86,218 ","11,19,416 ",09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,Purpose (Deluxe),Sorry,82.0,200786.0,False,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,4.0,pop,0.6614835275133333
Dream Supplier - Clean Baby Sleep White Noise (Loopable),"2,80,38,06,185 ","16,95,201 ",,,,,,,,,,,,,,,,,,,,,
Shawn Mendes - Treat You Better,"2,79,94,96,082 ","10,26,283 ",3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Illuminate,Treat You Better,84.0,187973.0,False,0.444,0.819,10.0,-4.078,0.0,0.341,0.106,0.0,0.107,0.747,82.695,4.0,dance,0.4697198642660186
Coldplay - The Scientist,"2,79,57,91,219 ","12,37,822 ",7tn1tcxenMwDXrYTOjS3z1,Corinne Bailey Rae,Fifty Shades Darker (Original Motion Picture Soundtrack),The Scientist,60.0,196040.0,False,0.306,0.229,10.0,-11.112,1.0,0.0331,0.807,0.000269,0.112,0.156,85.492,4.0,soul,0.4948465684514349
Radiohead - Creep,"2,79,06,38,424 ","21,25,303 ",70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,85.0,238640.0,True,0.515,0.43,7.0,-9.935,1.0,0.0372,0.0097,0.000133,0.129,0.104,91.844,4.0,alt-rock,0.5630131823907891
Olivia Rodrigo - drivers license,"2,78,73,82,290 ","9,54,375 ",5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,SOUR,drivers license,88.0,242013.0,True,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4.0,pop,0.6237840693228345
Passenger - Let Her Go,"2,77,69,41,149 ","6,47,866 ",2pUpNOgJBIBCcjyQZQ00qU,Passenger,All the Little Lights (Deluxe),Let Her Go,75.0,252733.0,False,0.445,0.541,7.0,-7.36,1.0,0.0736,0.359,0.0,0.109,0.217,76.289,4.0,folk,0.4139677690475373
Ariana Grande - 7 rings,"2,77,61,44,893 ","7,88,381 ",6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,"thank u, next",7 rings,84.0,178626.0,True,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,4.0,pop,0.6692167640797612
Journey - Don't Stop Believin',"2,77,00,43,751 ","9,63,058 ",4bHsxqR3GMrXTxEPLuK5ue,Journey,Escape (Bonus Track Version),Don't Stop Believin',83.0,250986.0,False,0.5,0.748,4.0,-9.072,1.0,0.0363,0.127,0.0,0.447,0.514,118.852,4.0,hard-rock,0.9450450371419364
SZA - Kill Bill,"2,75,62,69,618 ","8,50,379 ",,,,,,,,,,,,,,,,,,,,,
Shawn Mendes - There's Nothing Holdin' Me Back,"2,74,80,68,599 ","10,54,181 ",7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,86.0,199440.0,False,0.866,0.813,11.0,-4.063,0.0,0.0554,0.38,0.0,0.0779,0.969,121.998,4.0,pop,0.9387212418573092
Arctic Monkeys - 505,"2,74,23,69,327 ","18,29,725 ",0BxE4FqsDD1Ot4YuBXwAPp,Arctic Monkeys,Favourite Worst Nightmare,505,88.0,253586.0,False,0.526,0.866,0.0,-5.822,1.0,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4.0,indie,0.6715353333616657
Oasis - Wonderwall,"2,71,62,08,175 ","13,80,716 ",4sigEqg7SMeZsn8haXoloU,TEEMID,Wonderwall,Wonderwall,63.0,246169.0,False,0.7,0.705,5.0,-6.026,1.0,0.0414,0.148,0.0343,0.161,0.521,99.97,4.0,french,0.6646720618362721
a-ha - Take on Me,"2,70,81,95,756 ","11,90,817 ",2WfaOiMkCvy7F5fcp2zZ8L,a-ha,Hunting High and Low,Take on Me,85.0,225280.0,False,0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412,4.0,rock,0.4869067767275729
Linkin Park - Numb,"2,66,99,18,262 ","13,90,866 ",10xV5l9nhLvFpR8mqzs0bL,Marshmello;Khalid,Numb,Numb,87.0,155588.0,False,0.912,0.774,0.0,-4.673,0.0,0.0455,0.121,0.0127,0.101,0.632,119.966,4.0,dance,0.9585219365515578
The Weeknd - Save Your Tears,"2,66,66,91,358 ","9,57,033 ",5QO79kh1waicV47BqGRL3g,The Weeknd,After Hours,Save Your Tears,89.0,215626.0,True,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0,pop,0.947844837131732
Elton John - Cold Heart,"2,66,58,97,065 ","9,27,643 ",4dPvsvGdLgN1akSh7j7Rlz,Josh A,Cold Heart,Cold Heart,50.0,151347.0,False,0.779,0.554,2.0,-8.247,1.0,0.0667,0.0608,0.0,0.0942,0.299,90.016,4.0,sad,0.5443799812388411
Calvin Harris - One Kiss,"2,65,10,54,381 ","5,75,021 ",6Mcd2tlwSiqsnMC85DF4Ns,Calvin Harris;Dua Lipa,New Year's Eve - NYE 2018/2019,One Kiss,60.0,209040.0,False,0.753,0.852,9.0,-4.028,0.0,0.138,0.0319,8.63e-06,0.328,0.586,124.023,4.0,electro,0.913175112082877
