Songs & Artist,Streams,Daily
Oasis - Wonderwall,"2,71,62,08,175 ","13,80,716 "
a-ha - Take on Me,"2,70,81,95,756 ","11,90,817 "
Linkin Park - Numb,"2,66,99,18,262 ","13,90,866 "
The Weeknd - Save Your Tears,"2,66,66,91,358 ","9,57,033 "
Elton John - Cold Heart,"2,66,58,97,065 ","9,27,643 "
Calvin Harris - One Kiss,"2,65,10,54,381 ","5,75,021 "
Guns N' Roses - Sweet Child O' Mine,"2,64,03,15,331 ","13,00,593 "
Fleetwood Mac - Dreams,"2,62,21,95,328 ","17,79,037 "
Major Lazer - Lean On,"2,61,82,50,998 ","10,81,486 "
Olivia Rodrigo - good 4 u,"2,60,97,28,969 ","6,22,880 "
Maroon 5 - Payphone,"2,60,85,41,604 ","13,29,560 "
Queen - Don't Stop Me Now,"2,60,80,27,052 ","9,38,261 "
Mark Ronson - Uptown Funk,"2,60,23,05,631 ","9,81,956 "
Michael Jackson - Billie Jean,"2,59,09,46,879 ","13,78,491 "
Marshmello - Happier,"2,57,92,97,029 ","5,73,819 "
Adele - Someone Like You,"2,56,03,07,336 ","8,09,300 "
Travis Scott - SICKO MODE,"2,55,56,93,738 ","5,26,429 "
The Weeknd - One Of The Girls,"2,54,26,48,332 ","18,64,042 "
Dua Lipa - Levitating,"2,54,16,86,889 ","7,43,432 "
TOTO - Africa,"2,53,20,59,388 ","12,34,639 "
Charlie Puth - We Don't Talk Anymore,"2,52,35,38,490 ","13,25,399 "
Dua Lipa - New Rules,"2,52,20,81,528 ","6,72,827 "
One Direction - Night Changes,"2,51,69,30,307 ","11,33,388 "
Mariah Carey - All I Want for Christmas Is You,"2,51,16,76,584 ","72,196 "
XXXTENTACION - SAD!,"2,50,84,14,207 ","4,26,025 "
J Balvin - LA CANCIÃN,"2,50,60,29,995 ","15,10,527 "
Lil Uzi Vert - XO Tour Llif3,"2,49,66,59,219 ","5,52,638 "
Sam Smith - Too Good At Goodbyes,"2,49,18,75,194 ","5,92,976 "
Sam Smith - Stay With Me,"2,48,67,70,911 ","5,70,787 "
XXXTENTACION - Jocelyn Flores,"2,47,62,72,019 ","3,09,181 "
Tears For Fears - Everybody Wants To Rule The World,"2,47,54,65,055 ","12,03,993 "
Halsey - Without Me,"2,47,53,77,953 ","8,00,646 "
Keane - Somewhere Only We Know,"2,47,04,06,731 ","15,56,489 "
Don Omar - Danza Kuduro,"2,46,93,55,749 ","15,11,987 "
Lukas Graham - 7 Years,"2,46,36,61,627 ","8,22,850 "
Billie Eilish - when the party's over,"2,45,74,37,797 ","7,27,957 "
Eminem - Till I Collapse,"2,45,69,61,880 ","7,90,481 "
Sam Smith - I'm Not The Only One,"2,45,63,67,784 ","9,32,658 "
Coolio - Gangsta's Paradise,"2,45,41,31,839 ","11,66,217 "
Maroon 5 - Memories,"2,45,00,10,199 ","5,53,958 "
Camila Cabello - Havana,"2,44,22,95,363 ","5,18,843 "
Shawn Mendes - Stitches,"2,44,02,40,007 ","8,28,956 "
Bad Bunny - DÃKITI,"2,43,69,45,774 ","8,72,946 "
Calvin Harris - We Found Love,"2,43,60,01,786 ","12,51,722 "
Djo - End of Beginning,"2,43,49,87,171 ","39,89,531 "
Eminem - Mockingbird,"2,43,23,15,319 ","10,53,625 "
Adele - Easy On Me,"2,42,35,15,275 ","8,46,846 "
Lewis Capaldi - Before You Go,"2,42,25,90,555 ","6,90,966 "
Foster The People - Pumped Up Kicks,"2,42,25,02,880 ","9,65,109 "
Eminem - The Real Slim Shady,"2,42,15,36,479 ","8,41,299 "
Charlie Puth - Attention,"2,41,96,65,506 ","12,22,300 "
Shakira - Hips Don't Lie,"2,40,76,60,936 ","11,65,136 "
Teddy Swims - Lose Control,"2,39,99,16,209 ","15,83,552 "
Gotye - Somebody That I Used To Know,"2,39,74,77,395 ","10,56,558 "
Queen - Another One Bites The Dust,"2,39,33,94,024 ","7,89,170 "
Jason Mraz - I'm Yours,"2,39,07,10,588 ","8,72,362 "
Taylor Swift - Blank Space,"2,39,06,87,488 ","10,00,883 "
Manuel Turizo - La Bachata,"2,38,24,43,665 ","8,34,381 "
The Weeknd - Call Out My Name,"2,37,61,82,611 ","7,39,256 "
ROSÃ - APT.,"2,37,06,56,949 ","15,78,168 "
Danny Ocean - Me RehÃºso,"2,36,65,31,895 ","13,45,058 "
Mike Posner - I Took A Pill In Ibiza,"2,36,60,64,258 ","8,60,008 "
Alan Walker - Faded,"2,36,56,90,210 ","7,49,778 "
Wiz Khalifa - See You Again,"2,36,41,30,810 ","8,01,569 "
Tame Impala - The Less I Know The Better,"2,36,38,44,483 ","15,66,981 "
Doja Cat - Kiss Me More,"2,36,12,87,601 ","8,17,141 "
The Chainsmokers - Don't Let Me Down,"2,35,55,40,905 ","9,57,107 "
Adele - Rolling in the Deep,"2,35,30,20,444 ","7,73,538 "
David Guetta - I'm Good (Blue),"2,35,23,77,450 ","8,24,117 "
Jimin - Who,"2,35,14,25,289 ","18,54,681 "
Maroon 5 - Maps,"2,34,87,07,874 ","10,84,467 "
Roddy Ricch - The Box,"2,34,68,27,581 ","6,98,214 "
Avicii - The Nights,"2,34,67,96,799 ","8,35,346 "
Cigarettes After Sex - Apocalypse,"2,34,55,65,839 ","13,35,459 "
Creedence Clearwater Revival - Have You Ever Seen The Rain,"2,34,52,09,521 ","12,30,519 "
XXXTENTACION - Moonlight,"2,34,30,81,117 ","9,23,204 "
Arctic Monkeys - Why'd You Only Call Me When You're High?,"2,30,60,78,747 ","9,31,768 "
Conan Gray - Heather,"2,30,20,48,326 ","7,29,947 "
WALK THE MOON - Shut Up and Dance,"2,30,01,16,182 ","8,60,011 "
Post Malone - Congratulations,"2,29,95,90,702 ","4,97,097 "
Gorillaz - Feel Good Inc.,"2,29,81,15,004 ","17,10,170 "
Coldplay - A Sky Full of Stars,"2,29,35,97,594 ","9,33,134 "
Lil Nas X - INDUSTRY BABY,"2,29,31,30,163 ","3,83,061 "
The Walters - I Love You So,"2,29,16,17,945 ","10,81,643 "
Imagine Dragons - Radioactive,"2,28,89,72,945 ","6,41,496 "
Maroon 5 - Sugar,"2,28,02,43,195 ","7,06,593 "
Adele - Set Fire to the Rain,"2,27,77,42,815 ","9,75,354 "
Ruth B. - Dandelions,"2,27,11,39,989 ","9,24,222 "
Olivia Rodrigo - traitor,"2,26,59,00,512 ","10,29,085 "
"Earth, Wind & Fire - September","2,26,36,99,343 ","8,55,614 "
Lana Del Rey - Summertime Sadness,"2,25,95,09,090 ","12,81,346 "
OneRepublic - I Ain't Worried,"2,25,49,59,879 ","8,39,855 "
Lauv - I Like Me Better,"2,25,42,02,659 ","7,41,762 "
AC/DC - Highway to Hell,"2,24,55,20,370 ","10,60,422 "
Bad Bunny - Me Porto Bonito,"2,24,39,70,010 ","6,58,322 "
Travis Scott - HIGHEST IN THE ROOM,"2,24,27,83,547 ","6,70,289 "
BTS - Dynamite,"2,24,03,18,381 ","6,17,901 "
Post Malone - Better Now,"2,23,54,38,841 ","4,50,849 "
David Guetta - Titanium,"2,22,76,46,726 ","11,15,408 "
Sia - Chandelier,"2,22,65,55,948 ","7,48,416 "
Christina Perri - a thousand years,"2,22,55,91,186 ","9,49,190 "
Calvin Harris - This Is What You Came For,"2,22,36,52,896 ","8,79,868 "
Twenty One Pilots - Ride,"2,22,22,47,790 ","8,93,492 "
Olivia Rodrigo - deja vu,"2,22,05,56,016 ","9,85,778 "
Wham! - Last Christmas,"2,21,46,65,577 ","1,20,362 "
Twenty One Pilots - Heathens,"2,20,65,56,616 ","7,07,989 "
Justin Bieber - Ghost,"2,20,33,04,565 ","8,41,032 "
Tate McRae - greedy,"2,20,08,18,401 ","8,91,279 "
"Ariana Grande - thank u, next","2,19,79,53,455 ","5,25,715 "
Bon Jovi - Livin' On A Prayer,"2,19,64,71,184 ","10,12,619 "
Zara Larsson - Lush Life,"2,18,98,03,832 ","26,98,877 "
ZAYN - Dusk Till Dawn,"2,18,51,69,695 ","6,84,125 "
Kendrick Lamar - Money Trees,"2,17,72,15,255 ","9,11,167 "
AC/DC - Thunderstruck,"2,17,64,78,204 ","10,45,651 "
The Weeknd - I Feel It Coming,"2,17,58,68,315 ","7,02,286 "
Drake - Passionfruit,"2,17,47,83,954 ","11,54,054 "
Rihanna - Umbrella,"2,17,34,14,370 ","10,62,291 "
The Weeknd - Save Your Tears (Remix),"2,16,41,73,494 ","9,82,316 "
Eminem - Love The Way You Lie,"2,16,05,25,975 ","11,39,929 "
MÃ¥neskin - Beggin',"2,15,73,87,270 ","9,72,822 "
Alec Benjamin - Let Me Down Slowly,"2,15,42,50,389 ","5,77,262 "
Eagles - Hotel California,"2,15,26,16,430 ","9,86,049 "
Lil Nas X - MONTERO (Call Me By Your Name),"2,15,17,71,608 ","2,85,198 "
24kGoldn - Mood,"2,15,16,23,926 ","3,45,546 "
The White Stripes - Seven Nation Army,"2,14,96,50,870 ","7,49,548 "
Billie Eilish - ocean eyes,"2,14,53,36,364 ","10,46,365 "
Ed Sheeran - I Don't Care,"2,14,50,23,319 ","4,91,991 "
The Weeknd - Can't Feel My Face,"2,14,43,82,122 ","6,58,647 "
SAINt JHN - Roses (Imanbek Remix),"2,14,39,34,761 ","2,46,338 "
OMI - Cheerleader (Felix Jaehn Remix),"2,13,96,01,923 ","7,89,952 "
Miley Cyrus - Party In The U.S.A.,"2,13,65,10,419 ","9,10,035 "
Dean Lewis - Be Alright,"2,13,38,80,626 ","4,58,425 "
5 Seconds of Summer - Youngblood,"2,12,74,49,654 ","5,00,124 "
Rihanna - Love On The Brain,"2,12,72,72,751 ","12,00,601 "
Queen - Under Pressure,"2,12,68,13,016 ","7,94,533 "
Ed Sheeran - Bad Habits,"2,12,36,45,882 ","6,29,496 "
AC/DC - Back In Black,"2,11,75,92,693 ","9,48,170 "
Frank Ocean - Pink + White,"2,11,55,54,847 ","10,82,551 "
XXXTENTACION - Fuck Love,"2,11,43,05,674 ","5,31,153 "
Doja Cat - Woman,"2,11,03,93,462 ","8,06,450 "
The Weeknd - Earned It (Fifty Shades Of Grey),"2,11,03,70,528 ","6,57,323 "
Sia - Cheap Thrills,"2,10,97,32,731 ","5,01,762 "
Juice WRLD - All Girls Are The Same,"2,10,65,53,649 ","5,66,695 "
Bad Bunny - TitÃ­ Me PreguntÃ³,"2,10,35,25,005 ","22,59,887 "
ZAYN - I Donât Wanna Live Forever (Fifty Shades Darker),"2,10,27,85,749 ","6,51,202 "
Luis Fonsi - Despacito,"2,10,19,84,614 ","5,67,423 "
Maroon 5 - Moves Like Jagger,"2,09,48,00,456 ","10,47,761 "
Lady Gaga - Poker Face,"2,09,43,36,295 ","12,02,699 "
Harry Styles - Sign of the Times,"2,09,30,51,342 ","20,25,500 "
Pitbull - Timber,"2,08,84,49,378 ","8,82,040 "
Billie Eilish - everything i wanted,"2,08,52,85,377 ","6,09,107 "
50 Cent - In Da Club,"2,07,96,23,091 ","8,87,438 "
Coldplay - Fix You,"2,07,59,79,282 ","8,27,245 "
Kings of Leon - Sex on Fire,"2,07,57,70,890 ","12,67,000 "
benny blanco - Eastside,"2,07,53,67,639 ","4,67,175 "
Daniel Caesar - Best Part,"2,07,20,55,740 ","8,44,898 "
MAGIC! - Rude,"2,06,95,85,484 ","9,71,669 "
The Neighbourhood - Daddy Issues,"2,06,91,29,214 ","8,21,960 "
Bruno Mars - Talking to the Moon,"2,05,70,24,927 ","11,59,751 "
Justin Bieber - What Do You Mean?,"2,05,68,17,280 ","6,94,324 "
"Chappell Roan - Good Luck, Babe!","2,05,36,41,313 ","16,38,986 "
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52/66","2,05,20,76,892 ","4,94,273 "
Black Eyed Peas - I Gotta Feeling,"2,05,11,34,996 ","9,93,164 "
Lana Del Rey - Young And Beautiful,"2,04,76,50,521 ","13,28,306 "
Harry Styles - Adore You,"2,04,73,95,927 ","8,76,577 "
Miguel - Sure Thing,"2,04,66,29,165 ","10,34,842 "
Metallica - Enter Sandman,"2,04,20,98,291 ","11,29,940 "
Ariana Grande - One Last Time,"2,04,13,39,711 ","8,25,676 "
Ava Max - Sweet but Psycho,"2,04,05,58,821 ","6,58,401 "
Future - Mask Off,"2,03,89,66,638 ","5,58,542 "
Calvin Harris - Summer,"2,03,10,18,387 ","8,54,483 "
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","2,02,90,59,403 ","4,60,119 "
Backstreet Boys - I Want It That Way,"2,02,83,19,759 ","8,65,249 "
"Train - Hey, Soul Sister","2,02,64,96,056 ","6,52,495 "
Pitbull - Give Me Everything,"2,01,99,06,305 ","13,12,083 "
Ed Sheeran - Shivers,"2,01,75,46,933 ","5,38,180 "
Maroon 5 - She Will Be Loved,"2,01,39,51,194 ","10,00,203 "
Powfu - death bed (coffee for your head),"2,00,88,08,759 ","5,17,250 "
Taylor Swift - Lover,"2,00,64,34,338 ","6,74,839 "
Bastille - Pompeii,"2,00,36,49,066 ","6,73,762 "
FloyyMenor - Gata Only,"2,00,25,44,727 ","11,39,378 "
DNCE - Cake By The Ocean,"1,99,75,72,919 ","6,57,799 "
Coldplay - Sparks,"1,98,95,73,280 ","17,25,492 "
Taylor Swift - Anti-Hero,"1,98,58,06,565 ","4,30,277 "
Steve Lacy - Dark Red,"1,98,03,77,290 ","8,97,995 "
Nirvana - Come As You Are,"1,97,98,04,383 ","12,00,138 "
USHER - Yeah!,"1,97,88,38,948 ","10,32,258 "
Childish Gambino - Redbone,"1,97,71,11,931 ","6,22,901 "
Tate McRae - you broke me first,"1,97,30,20,097 ","5,14,166 "
Billie Eilish - WILDFLOWER,"1,96,79,04,057 ","20,02,023 "
Imagine Dragons - Enemy,"1,96,54,45,812 ","5,32,599 "
Carly Rae Jepsen - Call Me Maybe,"1,95,74,74,973 ","9,92,313 "
System Of A Down - Chop Suey!,"1,95,72,87,387 ","9,86,917 "
Red Hot Chili Peppers - Californication,"1,95,68,79,517 ","10,31,555 "
R.E.M. - Losing My Religion,"1,95,60,42,758 ","10,87,708 "
BeyoncÃ© - Halo,"1,94,44,86,917 ","6,56,297 "
Taylor Swift - cardigan,"1,94,28,18,051 ","8,38,672 "
ABBA - Dancing Queen,"1,94,19,18,879 ","8,90,058 "
Offset - Ric Flair Drip,"1,94,06,26,746 ","5,41,183 "
The Script - Hall of Fame,"1,93,97,14,905 ","7,41,506 "
Kanye West - Heartless,"1,93,93,26,604 ","10,33,989 "
Lil Tecca - Ransom,"1,93,05,88,025 ","5,58,946 "
Ariana Grande - Into You,"1,92,75,87,735 ","10,58,571 "
Katy Perry - Dark Horse,"1,92,71,88,397 ","7,70,627 "
Khalid - Young Dumb & Broke,"1,92,29,94,959 ","7,60,072 "
Milky Chance - Stolen Dance,"1,91,85,63,974 ","7,74,618 "
Eurythmics - Sweet Dreams (Are Made of This),"1,91,81,49,722 ","8,20,064 "
Justin Bieber - Peaches,"1,91,58,16,745 ","5,17,778 "
Hozier - Too Sweet,"1,91,30,25,524 ","12,88,432 "
Mitski - My Love Mine All Mine,"1,91,10,21,028 ","9,21,072 "
Coldplay - Hymn for the Weekend,"1,90,82,16,331 ","6,95,582 "
Sam Smith - Unholy,"1,90,65,84,124 ","4,08,044 "
Panic! At The Disco - High Hopes,"1,90,58,10,630 ","5,47,225 "
Post Malone - Wow.,"1,90,55,36,492 ","3,45,572 "
Evanescence - Bring Me To Life,"1,90,51,34,800 ","15,54,349 "
Sia - Unstoppable,"1,90,37,58,526 ","8,57,009 "
XXXTENTACION - Everybody Dies In Their Nightmares,"1,90,35,24,895 ","2,84,931 "
XXXTENTACION - Revenge,"1,90,33,39,856 ","5,43,343 "
Red Hot Chili Peppers - Under the Bridge,"1,90,31,42,797 ","9,48,554 "
Marshmello - Silence,"1,90,02,33,677 ","2,93,669 "
Bruno Mars - Grenade,"1,90,02,18,652 ","8,64,768 "
Rihanna - Diamonds,"1,89,93,70,342 ","7,38,933 "
One Direction - Story of My Life,"1,89,74,32,431 ","7,63,899 "
Bad Bunny - Ojitos Lindos,"1,89,71,13,774 ","8,41,186 "
Rihanna - Stay,"1,89,70,75,694 ","9,66,254 "
Bruno Mars - 24K Magic,"1,89,41,03,689 ","7,72,906 "
SZA - Snooze,"1,89,31,47,040 ","10,59,798 "
XXXTENTACION - Hope,"1,89,07,25,442 ","5,67,424 "
Rihanna - Needed Me,"1,88,83,53,573 ","6,18,719 "
Clean Bandit - Symphony,"1,88,49,89,125 ","7,91,001 "
Ariana Grande - we can't be friends (wait for your love),"1,88,46,16,902 ","12,61,790 "
P!nk - Just Give Me a Reason,"1,88,35,08,478 ","9,23,222 "
Maroon 5 - Animals,"1,88,30,62,430 ","10,15,841 "
Clean Bandit - Rockabye,"1,88,26,87,968 ","7,31,295 "
Kendrick Lamar - Not Like Us,"1,88,02,07,455 ","10,10,601 "
Cardi B - I Like It,"1,88,01,76,867 ","6,01,137 "
Britney Spears - Toxic,"1,87,86,88,530 ","9,71,952 "
Travis Scott - BUTTERFLY EFFECT,"1,87,84,75,347 ","3,90,405 "
Luis Fonsi - Despacito,"1,87,74,55,239 ","2,43,927 "
Nelly Furtado - Promiscuous,"1,87,63,60,626 ","12,84,968 "
Pitbull - Time of Our Lives,"1,87,42,77,012 ","10,13,341 "
Creedence Clearwater Revival - Fortunate Son,"1,86,79,91,662 ","6,93,078 "
Eminem - Godzilla,"1,86,75,54,264 ","4,83,680 "
Red Hot Chili Peppers - Can't Stop,"1,86,33,15,707 ","13,69,467 "
Dr. Dre - Still D.R.E.,"1,85,91,16,543 ","6,64,825 "
Trevor Daniel - Falling,"1,85,85,13,937 ","3,72,595 "
Lady Gaga - Always Remember Us This Way,"1,85,52,31,251 ","8,76,113 "
d4vd - Romantic Homicide,"1,85,46,57,376 ","6,46,254 "
Taylor Swift - Shake It Off,"1,84,78,34,980 ","7,48,545 "
Dua Lipa - IDGAF,"1,84,67,24,050 ","3,47,153 "
Kendrick Lamar - LOVE. FEAT. ZACARI.,"1,84,54,17,908 ","6,43,686 "
Rema - Calm Down,"1,84,47,53,066 ","5,76,848 "
One Direction - What Makes You Beautiful,"1,84,38,53,475 ","8,05,122 "
Ariana Grande - Side To Side,"1,84,22,86,291 ","7,46,413 "
Marvin Gaye - Ain't No Mountain High Enough,"1,83,70,02,143 ","8,09,132 "
Bryson Tiller - Don't,"1,83,62,44,514 ","6,22,197 "
Maroon 5 - Girls Like You,"1,83,41,52,761 ","3,34,637 "
Coldplay - Paradise,"1,83,00,77,407 ","8,18,805 "
Major Lazer - Cold Water,"1,82,91,96,565 ","3,66,632 "
Anne-Marie - 2002,"1,82,88,35,286 ","4,42,088 "
Chris Brown - Under The Influence,"1,82,88,34,866 ","6,82,738 "
Lady Gaga - Bad Romance,"1,82,73,88,228 ","9,62,967 "
Capital Cities - Safe And Sound,"1,82,63,68,546 ","6,79,090 "
Outkast - Hey Ya!,"1,82,50,36,793 ","8,29,597 "
Gigi Perez - Sailor Song,"1,81,40,99,702 ","22,81,454 "
Sabrina Carpenter - Please Please Please,"1,81,26,02,255 ","12,32,106 "
Katy Perry - Last Friday Night (T.G.I.F.),"1,80,98,84,810 ","10,49,851 "
Billie Eilish - Happier Than Ever,"1,80,92,69,158 ","6,79,436 "
DJ Snake - Taki Taki,"1,80,76,25,685 ","3,64,004 "
Post Malone - I Fall Apart,"1,80,70,29,887 ","2,29,800 "
Adele - Hello,"1,80,64,15,968 ","3,96,249 "
BeyoncÃ© - Crazy In Love,"1,80,64,13,490 ","6,96,829 "
Bad Bunny - Callaita,"1,80,03,89,378 ","6,41,579 "
Ellie Goulding - Love Me Like You Do,"1,79,75,38,732 ","5,04,831 "
Farruko - Pepas,"1,79,46,17,427 ","4,97,218 "
"Snoop Dogg - Young, Wild & Free (feta. Bruno Mars)","1,79,38,37,436 ","5,72,637 "
JAÅ¸-Z - Ni**as In Paris,"1,79,16,10,522 ","6,12,019 "
The Beatles - Here Comes The Sun,"1,78,98,58,662 ","6,22,325 "
Rihanna - Only Girl (In The World),"1,78,69,99,003 ","12,72,462 "
Lil Baby - Drip Too Hard,"1,78,65,36,892 ","4,36,062 "
Calvin Harris - Outside,"1,78,46,94,610 ","12,21,391 "
Kesha - TiK ToK,"1,78,37,83,002 ","8,63,842 "
DaBaby - ROCKSTAR,"1,78,36,85,344 ","2,17,882 "
JHAYCO - No Me Conoce,"1,78,25,44,743 ","7,38,728 "
Rauw Alejandro - Todo De Ti,"1,77,72,52,417 ","5,05,804 "
Avicii - Waiting For Love,"1,77,61,09,924 ","6,79,615 "
J Balvin - Mi Gente,"1,77,32,68,877 ","5,38,303 "
Clean Bandit - Rather Be,"1,77,21,39,151 ","9,16,495 "
Noah Kahan - Stick Season,"1,77,01,08,899 ","8,83,301 "
Kanye West - Stronger,"1,76,55,08,479 ","7,02,285 "
White Noise Baby Sleep - Clean White Noise,"1,76,23,54,748 ","2,30,870 "
d4vd - Here With Me,"1,76,22,36,515 ","7,97,363 "
Imagine Dragons - Bones,"1,76,03,21,826 ","6,29,211 "
Joji - Glimpse of Us,"1,75,96,85,935 ","7,33,734 "
Survivor - Eye of the Tiger,"1,75,92,82,681 ","7,35,748 "
Taylor Swift - august,"1,75,42,63,046 ","6,81,398 "
Gym Class Heroes - Stereo Hearts,"1,75,26,48,609 ","8,32,696 "
Snow Patrol - Chasing Cars,"1,75,07,27,062 ","7,29,399 "
Alex Warren - Ordinary,"1,74,54,76,095 ","30,93,336 "
Zedd - The Middle,"1,74,47,52,341 ","4,04,452 "
Dire Straits - Sultans Of Swing,"1,74,23,48,769 ","9,20,716 "
Metro Boomin - Creepin',"1,73,89,29,076 ","4,82,415 "
Joji - SLOW DANCING IN THE DARK,"1,73,75,34,310 ","11,22,292 "
